"","","","","","",""
"Exclusive","Inclusive","Exclusive CPU","Exclusive L1","Exclusive L2","Exclusive L3","Name"
"Total CPU Time","Total CPU Time","Cycles Time","D-cache Misses","Cache Misses","Cache Misses",""
"V  (sec.)","   (sec.)","   ","   ","   ","   ","   "
"30.772","30.772","26.617","19644713360","1188188190","800809","<Total>"
"9.367","9.367","8.041","6619727457","414414422","300303","matmult_knm"
"9.086","9.086","7.935","6619727463","394394387","200203","matmult_nkm"
"4.163","4.173","3.599","3188224584","369369376","200202","matmult_nat"
"3.743","3.743","3.259","3162616400","5005004","100101","matmult_nmk"
"2.172","2.172","1.853","25608230","5005001","0","matmult_kmn"
"2.001","2.001","1.746","25608222","0","0","matmult_mkn"
"0.200","0.200","0.155","3201004","0","0","<static>@0x58b160 (<libsatlas.so.3.10>)"
"0.010","0.010","0.","0","0","0","<static>@0x62e61d (<libsatlas.so.3.10>)"
"0.010","0.010","0.","0","0","0","ATL_dputblk_b0"
"0.010","0.010","0.010","0","0","0","__GI_memset"
"0.010","0.010","0.019","0","0","0","compare_mat"
"0.","0.220","0.","0","0","0","ATL_dgemm"
"0.","0.220","0.","0","0","0","ATL_dmmJIK"
"0.","0.210","0.","0","0","0","ATL_dmmJIK2"
"0.","0.010","0.","0","0","0","ATL_drow2blkT2_a1"
"0.","30.772","0.","0","0","0","__libc_start_main"
"0.","0.220","0.","0","0","0","cblas_dgemm"
"0.","30.772","0.","0","0","0","main"
"0.","0.220","0.","0","0","0","matmult_ref"
"0.","30.541","0.","0","0","0","mflops"
